Date,Open,High,Low,Close
15/02/2024 17:45,133811,133852,133775,133801
15/02/2024 17:50,133801,133878,133801,133863
15/02/2024 17:55,133857,133909,133821,133883
15/02/2024 18:00,133883,133919,133852,133893
15/02/2024 18:05,133899,133919,133837,133857
15/02/2024 18:10,133863,133873,133795,133842
15/02/2024 18:15,133842,133878,133801,133806
15/02/2024 18:20,133806,133924,133754,133924
16/02/2024 09:00,134213,134332,134115,134151
16/02/2024 09:05,134151,134259,134120,134239
16/02/2024 09:10,134234,134337,134192,134332
16/02/2024 09:15,134337,134435,134326,134373
16/02/2024 09:20,134378,134435,134301,134435
16/02/2024 09:25,134435,134527,134404,134440
16/02/2024 09:30,134440,134497,134419,134476
16/02/2024 09:35,134481,134486,134373,134409
16/02/2024 09:40,134414,134466,134378,134424
16/02/2024 09:45,134424,134522,134414,134450
16/02/2024 09:50,134450,134517,134419,134502
16/02/2024 09:55,134497,134512,134424,134440
16/02/2024 10:00,134440,134656,134414,134636
16/02/2024 10:05,134636,134734,134595,134692
16/02/2024 10:10,134698,134718,134466,134558
16/02/2024 10:15,134558,134620,134445,134620
16/02/2024 10:20,134620,134806,134595,134790
16/02/2024 10:25,134790,134914,134734,134765
16/02/2024 10:30,134765,134790,134275,134383
16/02/2024 10:35,134378,134393,134058,134110
16/02/2024 10:40,134105,134161,133842,133873
16/02/2024 10:45,133878,133914,133708,133734
16/02/2024 10:50,133728,133883,133718,133826
16/02/2024 10:55,133832,134094,133739,134079
16/02/2024 11:00,134074,134383,134058,134316
16/02/2024 11:05,134316,134352,134172,134259
16/02/2024 11:10,134259,134285,134089,134131
16/02/2024 11:15,134136,134187,134038,134069
16/02/2024 11:20,134064,134223,134053,134182
16/02/2024 11:25,134182,134239,134120,134208
16/02/2024 11:30,134203,134399,134151,134192
16/02/2024 11:35,134198,134229,134002,134069
16/02/2024 11:40,134069,134234,134053,134218
16/02/2024 11:45,134213,134363,134177,134357
16/02/2024 11:50,134357,134419,134265,134321
16/02/2024 11:55,134321,134383,134058,134115
16/02/2024 12:00,134115,134424,134079,134409
16/02/2024 12:05,134409,134662,134409,134646
16/02/2024 12:10,134646,134842,134579,134801
16/02/2024 12:15,134801,134837,134749,134790
16/02/2024 12:20,134785,134893,134713,134811
16/02/2024 12:25,134806,134904,134785,134796
16/02/2024 12:30,134801,134806,134636,134729
16/02/2024 12:35,134734,134790,134656,134744
16/02/2024 12:40,134744,134816,134656,134729
16/02/2024 12:45,134729,134780,134687,134708
